year,sites,length,mic
2006,1stfence,3.8,0
2006,1stfence,3,0
2006,1stfence,3.7,0
2006,1stfence,4,0
2006,1stfence,3.8,0
2006,1stfence,5.1,0
2006,1stfence,4.8,1
2006,1stfence,4.5,1
2006,1stfence,3.5,1
2006,1stfence,4.4,1
2006,1stfence,4.6,1
2006,1stfence,4.1,0
2006,1stfence,4.3,0
2006,1stfence,3.6,0
2006,1stfence,5,1
2006,1stfence,3.9,0
2006,1stfence,5.2,1
2006,1stfence,4.5,0
2006,1stfence,4,0
2006,1stfence,4.1,0
2006,1stfence,5.2,1
2006,1stfence,4.8,1
2006,1stfence,4.8,1
2006,1stfence,3.2,0
2006,1stfence,4.8,1
2006,1stfence,5.6,1
2006,1stfence,4.5,0
2006,1stfence,5.2,1
2006,1stfence,2.5,0
2006,1stfence,4,0
2006,1stfence,3.8,0
2006,1stfence,3.2,0
2006,1stfence,4.8,1
2006,1stfence,4.8,1
2006,1stfence,4.1,0
2006,1stfence,5.8,1
2006,1stfence,5.2,0
2006,1stfence,3,0
2006,1stfence,4.2,0
2006,1stfence,3.6,0
2006,1stfence,3.4,0
2006,1stfence,4.9,1
2006,1stfence,4.2,0
2006,1stfence,3.1,0
2006,1stfence,5.1,1
2006,1stfence,4.3,0
2006,1stfence,4.3,1
2006,1stfence,3.6,0
2006,1stfence,3.3,0
2006,1stfence,5,1
2006,1stfence,4.8,1
2006,1stfence,5.6,0
2006,1stfence,4.5,1
2006,1stfence,3.1,0
2006,1stfence,2.8,0
2006,1stfence,4.5,0
2006,1stfence,4.3,0
2006,1stfence,3.2,0
2006,1stfence,4,0
2006,1stfence,3.3,0
2006,1stfence,3.6,1
2006,1stfence,4.8,0
2006,1stfence,4,0
2006,1stfence,3.4,0
2006,1stfence,4.8,1
2006,1stfence,2.6,0
2006,1stfence,3.4,0
2006,1stfence,5.3,1
2006,1stfence,5.3,1
2006,1stfence,3.1,0
2006,1stfence,3.9,0
2006,1stfence,4.6,0
2006,1stfence,3.6,0
2006,1stfence,2.9,0
2006,1stfence,4,0
2006,1stfence,5,1
2006,1stfence,4.5,0
2006,1stfence,3.2,0
2006,1stfence,3.8,0
2006,1stfence,3.1,0
2006,1stfence,2.7,0
2006,1stfence,4.1,0
2006,1stfence,5.6,1
2006,2ndfence,4.1,0
2006,2ndfence,4.8,0
2006,2ndfence,2.5,0
2006,2ndfence,4.8,0
2006,2ndfence,3,0
2006,2ndfence,4.2,0
2006,2ndfence,3.1,0
2006,2ndfence,3.6,0
2006,2ndfence,3.2,0
2006,2ndfence,4.8,1
2006,2ndfence,5,0
2006,2ndfence,3.9,0
2006,2ndfence,2.8,0
2006,2ndfence,4.3,0
2006,2ndfence,3.7,0
2006,2ndfence,4.1,0
2006,2ndfence,3.8,0
2006,2ndfence,4.1,0
2006,2ndfence,3.6,0
2006,2ndfence,4.8,0
2006,2ndfence,4.5,0
2006,2ndfence,2.6,1
2006,2ndfence,4.3,0
2006,2ndfence,3.8,0
