year,site,length,infected,ploidy,
2015,swamp,4.5,1,2,
2015,swamp,4.5,1,2,
2015,swamp,5.1,1,2,
2015,swamp,5,1,2,
2015,swamp,4.5,1,2,
2015,swamp,3,0,2,
2015,swamp,4.5,1,2,
2015,swamp,4.5,0,2,
2015,swamp,4.3,1,2,
2015,swamp,2.9,0,2,
2015,swamp,4.6,0,2,
2015,swamp,4.8,0,2,
2015,swamp,4.2,1,2,
2015,swamp,3.1,0,2,
2015,swamp,4.1,0,2,
2015,swamp,3.9,0,2,
2015,swamp,4.9,1,2,
2015,swamp,4.6,0,2,
2015,swamp,3,0,2,
2015,swamp,3.7,0,2,
2015,swamp,4.5,1,2,
2015,swamp,4.8,0,2,
2015,swamp,4.5,1,2,
2015,swamp,4.5,1,2,
2015,swamp,3.2,0,2,
2015,swamp,3.2,1,2,
2015,swamp,4.1,0,2,
2015,swamp,4.2,0,2,
2015,swamp,3.6,1,2,
2015,swamp,3.5,0,2,
2015,swamp,4.2,0,2,
2015,swamp,4.1,0,2,
2015,swamp,3.7,0,2,
2015,swamp,4.1,0,2,
2015,swamp,4.9,1,2,
2015,swamp,4.3,1,2,
2015,swamp,3.5,0,2,
2015,swamp,5.1,1,2,
2015,swamp,4.1,1,2,
2015,halfway,4.5,0,2,
2015,halfway,4.8,0,2,
2015,halfway,4,1,2,
2015,halfway,4.5,0,2,
2015,halfway,3.2,0,2,
2015,halfway,3.1,0,2,
2015,halfway,4.1,0,2,
2015,halfway,3.9,0,2,
2015,halfway,4.2,0,2,
2015,halfway,5,0,2,
2015,halfway,3.8,0,2,
2015,halfway,4.5,1,2,
2015,halfway,4.1,0,2,
2015,halfway,4,0,2,
2015,halfway,3.8,0,2,
2015,halfway,4.8,0,2,
2015,halfway,4.5,0,2,
2015,halfway,4.2,0,2,
2015,halfway,3.9,0,2,
2015,halfway,4.1,0,2,
2015,halfway,4.1,0,2,
2015,halfway,3.1,0,2,
2015,halfway,3.9,0,2,
2015,halfway,4.1,0,2,
2015,halfway,4.6,0,2,
2015,halfway,3.9,0,2,
2015,halfway,4.2,0,2,
2015,halfway,4,0,2,
2015,halfway,4.1,0,2,
2015,halfway,2.9,0,2,
2015,halfway,4,0,2,
2015,halfway,5,0,2,
2015,halfway,3.5,0,2,
2015,1stfence,4.5,1,2,
2015,1stfence,4.1,0,2,
2015,1stfence,4.3,1,2,
2015,1stfence,5.5,1,2,
2015,1stfence,4.9,1,2,
2015,1stfence,5.1,0,2,
2015,1stfence,4.7,0,2,
2015,1stfence,4.4,0,2,
2015,1stfence,4,1,2,
2015,1stfence,4.6,0,2,
2015,1stfence,3.2,0,2,
2015,1stfence,2.9,0,2,
2015,1stfence,5,1,2,
2015,1stfence,5.1,1,2,
2015,1stfence,4.2,1,2,
2015,1stfence,4.1,0,2,
2015,1stfence,4.5,0,2,
2015,1stfence,3.2,0,2,
2015,1stfence,4.5,0,2,
2015,1stfence,3.8,1,2,
2015,1stfence,4.2,1,2,
2015,1stfence,4.8,0,2,
2015,1stfence,4,1,2,
2015,1stfence,3.5,0,2,
2015,1stfence,4.1,0,2,
2015,1stfence,4,0,2,
2015,1stfence,5.1,1,2,
2015,1stfence,4.8,0,2,
2015,1stfence,4.1,0,2,
2015,1stfence,4,1,2,
2015,1stfence,5,1,2,
2015,1stfence,4.2,0,2,
2015,1stfence,3.6,0,2,
2015,1stfence,2.6,0,2,
2015,2ndfence,3.5,0,2,
2015,2ndfence,3.8,0,2,
2015,2ndfence,3.6,0,2,
