year	lake	sites	habitat	size	sex	Microphallus
2000	Alexandrina	1stfence	shallow	4.8	female	1
2000	Alexandrina	1stfence	shallow	5.2	female	1
2000	Alexandrina	1stfence	shallow	4.4	male	1
2000	Alexandrina	1stfence	shallow	5.6	female	1
2000	Alexandrina	1stfence	shallow	5.2	female	0
2000	Alexandrina	1stfence	shallow	4.4	male	1
2000	Alexandrina	1stfence	shallow	4.8	female	0
2000	Alexandrina	1stfence	shallow	4.1	male	1
2000	Alexandrina	1stfence	shallow	4.2	male	0
2000	Alexandrina	1stfence	shallow	5.2	female	1
2000	Alexandrina	1stfence	shallow	4.5	male	1
2000	Alexandrina	1stfence	shallow	5	male	1
2000	Alexandrina	1stfence	shallow	4	male	1
2000	Alexandrina	1stfence	shallow	4.8	female	0
2000	Alexandrina	1stfence	shallow	5.8	female	1
2000	Alexandrina	1stfence	shallow	4.5	female	1
2000	Alexandrina	1stfence	shallow	4.8	male	1
2000	Alexandrina	1stfence	shallow	5.2	female	1
2000	Alexandrina	1stfence	shallow	5.3	female	1
2000	Alexandrina	1stfence	shallow	5.4	female	1
2000	Alexandrina	1stfence	shallow	5	male	1
2000	Alexandrina	1stfence	shallow	4.1	male	1
2000	Alexandrina	1stfence	shallow	4.2	female	1
2000	Alexandrina	1stfence	shallow	4	male	1
2000	Alexandrina	1stfence	shallow	4.5	female	0
2000	Alexandrina	1stfence	shallow	4.8	female	0
2000	Alexandrina	1stfence	shallow	4.5	female	1
2000	Alexandrina	1stfence	shallow	5.1	female	0
2000	Alexandrina	1stfence	shallow	4.1	female	1
2000	Alexandrina	1stfence	shallow	4.6	male	1
2000	Alexandrina	1stfence	shallow	5.3	female	1
2000	Alexandrina	1stfence	shallow	4.8	female	1
2000	Alexandrina	1stfence	shallow	5.1	female	1
2000	Alexandrina	1stfence	shallow	4.8	female	1
2000	Alexandrina	1stfence	shallow	4	male	1
2000	Alexandrina	1stfence	shallow	5.1	female	0
2000	Alexandrina	1stfence	shallow	4.9	female	0
2000	Alexandrina	1stfence	shallow	5.3	female	0
2000	Alexandrina	1stfence	shallow	4.2	male	1
2000	Alexandrina	1stfence	shallow	4.2	female	0
2000	Alexandrina	1stfence	shallow	3.6	female	0
2000	Alexandrina	1stfence	shallow	3	male	0
2000	Alexandrina	1stfence	shallow	5	female	0
2000	Alexandrina	1stfence	shallow	4.6	female	1
2000	Alexandrina	1stfence	shallow	3.6	male	0
2000	Alexandrina	1stfence	shallow	5.2	female	1
2000	Alexandrina	1stfence	shallow	4	male	0
2000	Alexandrina	1stfence	shallow	4.1	female	1
2000	Alexandrina	1stfence	shallow	4	female	0
2000	Alexandrina	1stfence	shallow	4.5	female	1
